"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",Latitude,Longitude,"Primary NAICS","Primary SIC","Sales Volume","Total Employees","Local Employees","Year Started"
"HASHERY KY LLC",,"1795 ALYSHEBA WAY STE 7202",LEXINGTON,KY,405092481,,"EATING PLACE",38.017612,-84.423579,722511,58120000,277925,2,2,2024
"HEDGEWITCH HALL, LLC",,"1052 TATESBROOK DR",LEXINGTON,KY,405172992,5025149323,"EATING PLACE",37.975173,-84.49227,722511,58120000,115474,3,3,2021
"HENLEY KITCHEN",,"632 CENTENNIAL LN",LEXINGTON,KY,405022770,,"EATING PLACE",38.013595,-84.489868,722511,58120000,102736,1,1,2017
"HERMAN SIROTA ENTERPRISES","RADISSON INN","369 W VINE ST OFC",LEXINGTON,KY,405071825,8592319000,"HOTEL/MOTEL OPERATION RET GIFTS/NOVELTIES DRINKING PLACE EATING PLACE",38.048366,-84.500186,721110,70110000,0,0,1,
"HH BARBEQUE",,"1244 VERSAILLES RD",LEXINGTON,KY,405083118,8595234227,"EATING PLACE",38.049582,-84.520302,722511,58120801,231882,7,7,2012
"HO-HO CHINESE EXPRESS","CHINESE EXPRESS","1070 HEATHER GATE CT",LEXINGTON,KY,405112304,8592542346,"EATING PLACE",38.086606,-84.484647,722511,58120103,161475,5,5,1986
"HOLA HAVANA LIMITED LIABILITY COMPANY",,"115 N LOCUST HILL DR STE 109B",LEXINGTON,KY,405091519,8595236276,"EATING PLACE",38.004391,-84.446547,722511,58120112,101244,5,5,2021
"HOME RUN, LLC",BANNERS,"3933 GLADMAN WAY",LEXINGTON,KY,405144028,,"EATING PLACE",37.994726,-84.575431,722511,58120000,163227,5,5,2016
"HONEY J'S SOUTHERN EATERY, LLC",,"1474 ANNISTON DR STE A1",LEXINGTON,KY,405052400,8592930225,"EATING PLACE",38.056329,-84.438924,722511,58120000,274205,2,2,2023
"HONEY JS SOUTHERN EATERY II LLC",,"3449 BUCKHORN DR STE 100",LEXINGTON,KY,405151015,,"EATING PLACE",37.976436,-84.458526,722511,58120000,277925,1,1,2025
"HONEYWOOD RESTAURANT, LLC",,"110 SUMMIT AT FRITZ FARM STE 140",LEXINGTON,KY,405178330,8594698234,"EATING PLACE",37.977436,-84.526767,722511,58120501,486691,21,21,2016
"HONNAH LEE BUBBLE TEA",,"894 MASON HEADLEY RD",LEXINGTON,KY,405042328,,"EATING PLACE",38.039361,-84.536742,722511,58129902,116120,4,4,2017
"HOOTERS RESTAURANT",HOOTERS,"3101 RICHMOND RD STE 315",LEXINGTON,KY,405091526,8592698521,"AMERICAN RESTAURANT",38.002263,-84.444914,722511,58120101,241976,5,5,2008
"HOPE CENTER, INC.",,"360 W LOUDON AVE",LEXINGTON,KY,405083743,8592527881,"SOCIAL SERVICES EATING PLACE",38.061975,-84.494132,813319,83999902,2354209,42,42,1980
"HORSESHOE LEMONADE COMPANY, LLC",,"98 GOODRICH AVE",LEXINGTON,KY,405031910,,"EATING PLACE",38.01314,-84.51682,722511,58120000,259779,1,1,2025
"HOT SAUCE RECORDS LLC",,"105 SYCAMORE RD",LEXINGTON,KY,405021841,,"EATING PLACE",38.03028,-84.480114,722511,58120000,141877,5,5,2015
"HOUSE FREIGHT, LLC",,"1450 N BROADWAY",LEXINGTON,KY,405053162,,"EATING PLACE",38.064992,-84.475346,722511,58120000,127711,1,1,2020
"HOWARD'S KITCHENS, INC.","WAFFLE HOUSE","2203 N BROADWAY",LEXINGTON,KY,405051966,8592932990,"RESTAURANT-FAM CHAIN",38.078252,-84.452746,722511,58120501,227038,20,20,1986
"HRCS GROUP C O SHAKESPEAR",,"1060 CHINOE RD",LEXINGTON,KY,405026589,8593035760,"EATING PLACE DRINKING PLACE",37.997681,-84.479714,722511,58129902,171960,8,8,2014
"HYATT CORPORATION","HYATT HOTEL","401 W HIGH ST",LEXINGTON,KY,405071833,8592531234,"HOTEL/MOTEL OPERATION EATING PLACE DRINKING PLACE",38.048351,-84.501476,721110,70110000,0,0,1,
"I & I, LLC","I & I BURGER SHAKE","219 E NEW CIRCLE RD",LEXINGTON,KY,405052116,8592994113,"EATING PLACE",38.062198,-84.466462,722511,58120101,234026,10,10,1957
"I WANT TACOS 3 LIMITED LIABILITY COMPANY",,"224 MCCONNELLS TRCE",LEXINGTON,KY,405118840,,"EATING PLACE",38.084834,-84.561879,722511,58120112,65812,1,1,2023
"INDY EATERY LLC","NEWK'S EATERY","2369 RICHMOND RD",LEXINGTON,KY,405021307,8592660031,"EATING PLACE",38.015789,-84.460979,722511,58120000,0,0,1,
"INEBRIATED BAKER, LLC / MINERVA CONSORTIUM LIMITED",,"2997 POLO CLUB BLVD",LEXINGTON,KY,405098445,5182533212,"EATING PLACE SCHOOL/EDUCATIONAL SERVICES MANAGEMENT CONSULTING SERVICES",38.021833,-84.403081,722511,58120502,43993,1,1,2017
"INVICTUS, LLC","NOODLES & COMPANY","2468 NICHOLASVILLE RD",LEXINGTON,KY,405033157,8592770400,"EATING PLACE",38.001657,-84.519642,722511,58120000,244883,25,25,2013
"IRON CHEF EXPRESS , INC.",,"3090 OLD TODDS RD STE 130",LEXINGTON,KY,405095002,,"EATING PLACE",38.009021,-84.424615,722511,58120103,240172,1,1,2018
"IT'S TACO TIME, L.L.C.",,"3826 HABERSHAM DR",LEXINGTON,KY,405171630,,"EATING PLACE",37.976497,-84.520998,722511,58120112,65812,1,1,2022
"ITALIAN HOSPITALITY, LLC",,"272 HANNAH TODD PL",LEXINGTON,KY,405099026,,"EATING PLACE",37.981828,-84.415147,722511,58120108,150872,1,1,2021
"ITALIAN PEASANT LLC",,"3709 PARK RIDGE LN",LEXINGTON,KY,405092937,8592215034,"EATING PLACE",37.993234,-84.419566,722511,58120108,83778,7,7,2018
"ITTY BITTY PLAY CAFE LLC",,"2301 CRAVAT PASS",LEXINGTON,KY,405118364,,"EATING PLACE",38.092049,-84.525002,722511,58129902,65812,1,1,2023
"J & D RESTAURANT, LLC","EL MARIACHI MEXICAN RESTAURANT","125 TOWNE CENTER DR STE 115",LEXINGTON,KY,405112027,8592550250,"EATING PLACE",38.067534,-84.53043,722511,58120112,353238,15,15,2008
"J & M H INCORPORATED",,"712 BURKSHIRE DR",LEXINGTON,KY,405023317,8592695417,"EATING PLACE",37.991863,-84.491768,722511,58120000,225074,6,1,2008
"J & M H INCORPORATED",,"821 CHEVY CHASE PL",LEXINGTON,KY,405022144,8593210640,"EATING PLACE",38.028894,-84.491132,722511,58120000,0,0,5,
"J'S PLACE",,"1060 W HIGH ST # 120",LEXINGTON,KY,405083114,8598870052,"VIDEO TAPE RENTAL EATING PLACE RET RECORDS/CD'S/TAPES",38.049646,-84.51498,532282,78410000,110479,2,2,2014
"J. ALEXANDER'S, LLC",,"4081 FINN WAY",LEXINGTON,KY,405178365,8596870099,"EATING PLACE",37.976594,-84.528279,722511,58120101,0,0,124,
"J. GREGORY ALEXANDER",,"884 WILLOW OAK CIR",LEXINGTON,KY,405141715,8596870099,"EATING PLACE",37.974698,-84.549676,722511,58120101,95967,1,1,2017
"J. RENDER'S BBQ, LLC",,"3191 BEAUMONT CENTRE CIR",LEXINGTON,KY,405131845,8595339777,"EATING PLACE",38.020585,-84.559202,722511,58120801,382654,9,9,2012
"J2C BISTRO INC.",,"561 S BROADWAY STE 140",LEXINGTON,KY,405082943,8593038330,"EATING PLACE",38.04445,-84.507246,722511,58120103,97943,5,5,2015
"JAEBLUE BBQ, LLC",,"3305 PUEBLO CT",LEXINGTON,KY,405098440,,"EATING PLACE",38.015168,-84.406905,722511,58120801,60554,4,4,2019
"JALAPENOS MEXICAN RESTAURANT",,"1050 S BROADWAY STE 300",LEXINGTON,KY,405042605,8592815171,"EATING PLACE",38.037739,-84.516663,722511,58120112,249807,5,5,1999
"JASMINE RICE THAI RESTAURANT, INC.",,"919 WINCHESTER RD",LEXINGTON,KY,405053947,8592460200,"EATING PLACE",38.042026,-84.470936,722511,58120115,262724,7,7,2010
"JEFF RUBY STEAKHOUSE, LLC",,"101 W VINE ST",LEXINGTON,KY,405071611,8595547000,"EATING PLACE",38.046035,-84.497809,722511,58120802,0,0,2,
"JERRY CHEN, INC.",,"3101 RICHMOND RD STE 302",LEXINGTON,KY,405091526,8592660958,"EATING PLACE",38.002882,-84.443947,722511,58120000,114472,8,8,2007
"JERUSALEM RESTURANT LLC",,"3751 APPIAN WAY APT 296",LEXINGTON,KY,405175932,3146627024,"EATING PLACE",37.97499,-84.49721,722511,58120000,87243,5,5,2017
"JESSE'S SLOOOW GOOD BBQ, LLC",,"501 ASHLEY WAY",LEXINGTON,KY,405032843,8596848402,"EATING PLACE",38.006922,-84.538027,722511,58120801,77480,4,4,2014
"JG11187 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG1231 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG23458 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG30750 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG3438 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG4819 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG6666 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JG989 RESTAURANT, LLC",,"451 CHAIR AVE APT C",LEXINGTON,KY,405081796,,"EATING PLACE",38.044482,-84.50926,722511,58120000,60554,6,6,2017
"JIANG, INC.",,"680 LIMA DR STE 100",LEXINGTON,KY,405112293,6465221369,"EATING PLACE",38.07263,-84.506122,722511,58120000,77587,6,6,2009
"JIN JIN",,"1060 CHINOE RD STE 148",LEXINGTON,KY,405026597,8592693382,"EATING PLACE",37.9975,-84.479149,722511,58120103,241481,5,5,2006
"JLC HUDSON LLC","CREOLE CAFE","833 GEORGETOWN ST STE 110",LEXINGTON,KY,405081024,,"EATING PLACE",38.068954,-84.504316,722511,58129902,89061,1,1,2019
"JOE BOLOGNAS RESTAURANT, L.L.C.",,"249 W SHORT ST STE 201A",LEXINGTON,KY,405071487,,"EATING PLACE",38.04833,-84.49768,722511,58120000,277925,2,2,2024
"JOES OK BAYOU INC",,"917 ALBANY CIR",LEXINGTON,KY,405022963,8592190110,"EATING PLACE",38.003127,-84.493782,722511,58120000,63858,5,5,2005
"JOHN F. PEPPIN, DO, FACP, LLC",,"1072 HEATHER GATE CT",LEXINGTON,KY,405112304,,"EATING PLACE",38.086614,-84.484881,722511,58120500,64643,1,1,2020
"JOSANNE'S HOMESTYLE KITCHEN LLC",,"3449 BUCKHORN DR",LEXINGTON,KY,405151015,8592450110,"EATING PLACE",37.976436,-84.458526,722511,58120801,167230,1,1,2019
"JOSANNE'S, LLC",,"3449 BUCKHORN DR STE 100",LEXINGTON,KY,405151015,,"EATING PLACE",37.976436,-84.458526,722511,58120801,51773,4,4,2016
"JOSIE'S GRAB N GO",,"821 CHEVY CHASE PL",LEXINGTON,KY,405022144,8595238328,"EATING PLACE",38.028894,-84.491132,722511,58120101,316295,10,10,2009
"JOSIE'S IN GEORGETOWN",,"1973 LEXINGTON RD",GEORGETOWN,KY,403249399,5026030378,"EATING PLACE",38.156002,-84.547526,722511,58120000,132404,1,1,2017
"JR RESTAURANTS LLC","SAUL GOOD RESTAURANT & PUB","2414 LAKE PARK RD",LEXINGTON,KY,405021364,,"EATING PLACE",38.009095,-84.461894,722511,58120000,219481,6,6,2022
"JS & KR ENTERPRISE LLC","RANOUSH MEDITERRANEAN CUISINE","4413 RIVERSIDE CT",LEXINGTON,KY,405154810,,"EATING PLACE",37.964935,-84.525362,722511,58120000,63220,2,2,2023
"JSM MANAGEMENT LLC","MICROTEL INN & SUITES","2240 BUENA VISTA RD",LEXINGTON,KY,405054824,8592991261,"HOTEL/MOTEL OPERATION MANAGEMENT SERVICES EATING PLACE",38.04227,-84.426928,721110,70110000,2470034,40,40,2000
"JUANITAS TAQUERIA & EVENTS LLC",,"2312 PALUMBO DR STE 110",LEXINGTON,KY,405091011,,"EATING PLACE",38.022223,-84.453585,722511,58120112,277925,1,1,2025
"JUMP START CAFE LIMITED LIABILITY COMPANY",,"621 LAKESHORE DR",LEXINGTON,KY,405023157,8596218760,"EATING PLACE",38.002439,-84.465404,722511,58129902,104965,4,4,2019
"JW'S STEAKHOUSE",,"1800 NEWTOWN PIKE",LEXINGTON,KY,405111330,8592886155,"EATING PLACE",38.093112,-84.484659,722511,58120802,116601,1,1,2001
"JY KITCHEN, LLC",,"1006 DELAWARE AVE",LEXINGTON,KY,405054002,8594740277,"EATING PLACE",38.038172,-84.470338,722511,58120000,241378,7,7,2018
KABABJI,,"2901 RICHMOND RD",LEXINGTON,KY,405091771,8592665222,"EATING PLACE",38.0057,-84.449723,722511,58120000,131036,5,5,2005
"KAME LTD",,"125 CODELL DR",LEXINGTON,KY,405091183,8598063315,"EATING PLACE",38.011584,-84.452114,722511,58120109,104763,6,6,2016
"KEBAB MANIA LLC",,"2115 SOVEREIGN LN",LEXINGTON,KY,405131916,6463212178,"EATING PLACE",38.026732,-84.562907,722511,58120500,227622,5,5,2011
"KENTUCKY NATIVE CAFE, INC.",,"417 E MAXWELL ST",LEXINGTON,KY,405082703,8592811718,"EATING PLACE",38.038275,-84.494897,722511,58129902,154556,4,4,2015
"KENTUCKY'S BIG BLUE BBQ LIMITED LIABILITY COMPANY",,"467 WOODVIEW DR",LEXINGTON,KY,405155946,,"EATING PLACE",37.990459,-84.450302,722511,58120801,291373,1,1,2023
"KENWICK TABLE LLC",,"312 E HIGH ST",LEXINGTON,KY,405071510,,"EATING PLACE",38.040995,-84.494653,722511,58120000,169368,5,5,2021
"KHON KAEN THAI CUISINE, INC",,"3270 MADDENHURST CT",LEXINGTON,KY,405172866,,"EATING PLACE",37.990463,-84.475544,722511,58120000,78620,7,7,2010
"KHUSHI, LLC",,"3130 MAPLELEAF DR STE 170",LEXINGTON,KY,405091308,8594206633,"EATING PLACE",38.006467,-84.427823,722511,58120000,74278,4,4,2010
"KING OF FOOD",,"208 LEGENDS LN STE 105",LEXINGTON,KY,405053289,8592257008,RESTAURANT,38.063793,-84.480358,722511,58120103,57783,1,1,1996
"KJH INC.","BOURBON N' TOULOUSE","829 EUCLID AVE",LEXINGTON,KY,405021741,8593350300,"EATING PLACE BUSINESS SERVICES AT NON-COMMERCIAL SITE",38.029818,-84.490486,722511,58120500,436388,7,7,2004
"KONG LIAN LLC",,"677 KINGSBURY RD",LEXINGTON,KY,405094454,,"EATING PLACE",38.023328,-84.436473,722511,58120103,262712,1,1,2024
"KORB CORRAL LLC",,"501 DARBY CREEK RD STE 13",LEXINGTON,KY,405091606,,"EATING PLACE",38.008014,-84.431976,722511,58120501,194979,1,1,2021
"KOREANA RESTAURANT",,"2360 WOODHILL DR STE 120",LEXINGTON,KY,405091079,,"EATING PLACE",38.016931,-84.454813,722511,58120110,245891,5,5,2003
"KOUNTRY BOY CAFE LLC",,"215 E SEVENTH ST STE 125",LEXINGTON,KY,405081650,,"EATING PLACE",38.05317,-84.48144,722511,58129902,277925,1,1,2025
"KOUNTRY KITCHEN LLC",,"612 BIG BEAR LN",LEXINGTON,KY,405172054,,"EATING PLACE",37.978273,-84.499848,722511,58120000,70532,1,1,2020
"KYI LLC",,"1093 S BROADWAY",LEXINGTON,KY,405042677,9292617680,"EATING PLACE",38.037376,-84.518184,722511,58120109,178263,2,2,2020
"L & R INVESTMENTS INC","MALIBU PUB","239 SURFSIDE DR",LEXINGTON,KY,405033104,8592789003,"RESTAURANT AND BAR",38.001406,-84.517039,722511,58120000,244531,5,5,1989
"L M TRAN INC DBA ASIAN TOO",,"3401 NICHOLASVILLE RD",LEXINGTON,KY,405033611,,"EATING PLACE",37.989736,-84.527676,722511,58120500,155698,1,1,2010
"LA CATRACHA HERNANDEZ LLC","TAQUERIA Y ANTJTOS LA CTRCHA H","2050 CAMBRIDGE DR APT 80",LEXINGTON,KY,405042068,,"EATING PLACE",38.052688,-84.551899,722511,58120112,277925,1,1,2024
"LA CHULA LLC",,"304 S LIMESTONE",LEXINGTON,KY,405083008,8599162253,"EATING PLACE",38.043099,-84.501382,722511,58120112,258784,1,1,2022
"LA DONA LLC","DON TACO","628 ESTRELLA DR",LEXINGTON,KY,405118670,,"EATING PLACE",38.095363,-84.533849,722511,58120112,94904,5,5,2020
"LA ISLA PUERTO RICAN CUISINE LLC",,"2717 WIGGINTON PT",LEXINGTON,KY,405118862,,"EATING PLACE",38.101616,-84.537565,722511,58120000,59417,3,3,2019
"LA MICHOLACANA",,"1801 ALEXANDRIA DR",LEXINGTON,KY,405043154,8592240226,"EATING PLACE",38.036664,-84.553044,722511,58120000,118942,7,7,2015
"LA REFERENCE RESTAURANT , L.L.C.",,"2396 WOODHILL DR",LEXINGTON,KY,405091024,8595369715,"EATING PLACE",38.016843,-84.453929,722511,58120500,63836,4,4,2019
"LA TAQUISA LLC",,"130 W TIVERTON WAY STE 190",LEXINGTON,KY,405034427,8595238314,"EATING PLACE",37.980653,-84.531457,722511,58120112,88560,5,5,2017
"LA TRATTORIA LLC",,"466 W SIXTH ST",LEXINGTON,KY,405081767,,"EATING PLACE",38.058399,-84.491673,722511,58120108,78441,1,1,2019
"LA UNICA INC",,"1429 VILLAGE DR STE 150",LEXINGTON,KY,405041659,8592815758,"RET GROCERIES EATING PLACE",38.048478,-84.549782,445110,54110100,235508,2,2,1993
"LEMONS INTO LEMONADE LLC",,"245 REGENCY CIR",LEXINGTON,KY,405032345,,"EATING PLACE",38.012806,-84.524064,722511,58120000,247077,1,1,2024
"LEONARDO'S CAFE",,"325 W MAIN ST STE 160",LEXINGTON,KY,405071632,8595592049,"EATING PLACE",38.04892,-84.499424,722511,58129902,93050,4,4,2017
"LEVY RESTAURANTS",,"4089 IRON WORKS PKWY",LEXINGTON,KY,405118483,3179173569,"EATING PLACE",38.150269,-84.519706,722511,58120000,375524,6,6,2018
"LEX EATS LLC",,"477 HART RD",LEXINGTON,KY,405022329,,"EATING PLACE",38.024498,-84.484384,722511,58120000,87583,1,1,2017
"LEX HAPPY PANDA INC",,"117 TOWNE CENTER DR",LEXINGTON,KY,405112027,8593889999,"EATING PLACE",38.067729,-84.530259,722511,58120500,232235,2,2,2010
"LEX WAFFLES & CREPES LIMITED LIABILITY COMPANY",,"247 SWIGERT AVE",LEXINGTON,KY,405051903,,"EATING PLACE",38.093029,-84.444832,722511,58120104,70628,1,1,2021
"LEXHANWOORI RESTAURANT, LLC",,"371 S LIMESTONE",LEXINGTON,KY,405083064,,"EATING PLACE",38.042176,-84.503414,722511,58120000,151288,7,7,2016
"LEXIDAN FOODS, LLC","WAFFLE HOUSE","1591 WINCHESTER RD STE 125",LEXINGTON,KY,405054515,8037602711,"RESTAURANT-FAM CHAIN",38.043156,-84.449793,722511,58120501,553041,19,19,2008
"LEXINGTON BLUE SUSHI LLC",,"105 SUMMIT AT FRITZ FARM STE 130",LEXINGTON,KY,405178332,,"EATING PLACE",37.978031,-84.527296,722511,58120114,244326,1,1,2017
"LEXINGTON CHEF'S TABLE LLC",,"750 SHAKER DR",LEXINGTON,KY,405043745,,"EATING PLACE",38.032716,-84.531186,722511,58120000,63220,1,1,2023
"LEXINGTON CHOICE RESTAURANT, LLC",,"3347 TATES CREEK RD",LEXINGTON,KY,405023407,,"EATING PLACE",37.995678,-84.496734,722511,58120101,300624,6,6,2009
"LEXINGTON LIFE RESTAURANT GROUP LLC",,"1204 INDIAN MOUND RD",LEXINGTON,KY,405022519,,"EATING PLACE",38.016904,-84.487496,722511,58120000,619736,61,61,2018
"LEXTANBUL LLC","BRIDGE THE","2424 CHIMNEY POINT LN",LEXINGTON,KY,405094364,8572531966,"EATING PLACE",38.01948,-84.486358,722511,58120500,231465,11,11,2016
"LIAM RESTAURANT LLC",,"219 HILLCREST AVE",LEXINGTON,KY,405053923,,"EATING PLACE",38.044156,-84.467993,722511,58120000,76173,3,3,2020
"LIAM RESTAURANT LLC",,"1425 N LIMESTONE",LEXINGTON,KY,405053262,,"EATING PLACE",38.063573,-84.473005,722511,58120000,65812,2,2,2023
"LIFESTYLE RESTAURANTS BROADWAY, LLC",,"3401 NICHOLASVILLE RD STE F-616",LEXINGTON,KY,405033611,,"EATING PLACE",37.989736,-84.527696,722511,58120000,71313,6,6,2015
"LIN'S SOFT TOUCH, LLC",,"2371 MERLUNA DR",LEXINGTON,KY,405118006,,"EATING PLACE",38.094567,-84.530578,722511,58120000,149861,5,5,2016
"LL MAYO, LLC",,"3609 GREEN PARK CT",LEXINGTON,KY,405091840,,"EATING PLACE",37.99297,-84.434924,722511,58120000,84895,4,4,2015
"LOBSTER LLC",,"1235 HIGBEE MILL RD",LEXINGTON,KY,405034164,,"EATING PLACE",37.987495,-84.558829,722511,58120700,97196,1,1,2020
"LOGAN'S ROADHOUSE, INC.","SING SING","1908 PAVILLON WAY",LEXINGTON,KY,405092210,8592634716,"EATING PLACE",38.020386,-84.417209,722511,58120802,812690,7000,260,1995
"LOLA HOSPITALITY LLC CENTRO DRINKS",,"113 CHEAPSIDE",LEXINGTON,KY,405071303,,"EATING PLACE",38.048112,-84.498332,722511,58120000,73297,1,1,2015
"LONG HUA 5, INC.","TAKUMI ASIAN BISTRO","1060 CHINOE RD",LEXINGTON,KY,405026589,,"EATING PLACE",37.997681,-84.479714,722511,58120000,277925,1,1,2024
"LONGHORN, LLC",,"1445 NEWTOWN CENTER WAY STE 130-151",LEXINGTON,KY,405111249,,"EATING PLACE",38.085083,-84.489783,722511,58120802,63220,1,1,2022
"LOS AMIGOS INC",,"1300 SWOONALONG CT",LEXINGTON,KY,405173744,,"EATING PLACE",37.979838,-84.473052,722511,58120112,56576,1,1,2018
"LOS AMIGOS, INC.",,"3390 PIMLICO PKWY",LEXINGTON,KY,405172841,,"EATING PLACE",37.98764,-84.4753,722511,58120000,32005,1,1,2001
"LOS COMPADRES, LLC",,"1261 GOLDEN GATE PARK",LEXINGTON,KY,405173139,,"EATING PLACE",37.979044,-84.478531,722511,58120112,90420,3,3,2021
"LOS DOS AMIGOS, LLC",,"3069 STANFORD DR",LEXINGTON,KY,405171518,,"EATING PLACE",37.980172,-84.524288,722511,58120112,84586,1,1,2020
"LOS FRIJOLES CHARROS LLC",,"908 WHITNEY AVE",LEXINGTON,KY,405081153,,"EATING PLACE",38.061927,-84.505975,722511,58120112,85667,3,3,2019
"LOS HERMANOS LOCOS LIMITED LIABILITY COMPANY",,"16 QUEEN AVE",LEXINGTON,KY,405111860,,"EATING PLACE",38.070252,-84.499181,722511,58120112,56719,4,4,2016
"LOS PARIENTES MEXICAN RESTAURANT, INC",,"2396 WOODHILL DR",LEXINGTON,KY,405091024,,"EATING PLACE",38.016843,-84.453929,722511,58120000,361131,2,2,2024
"LOS TIOS, LLC","TAQUERIA YARI","243 SUNDOWN DR",GEORGETOWN,KY,403249334,,"EATING PLACE",38.15764,-84.54211,722511,58120112,277925,1,1,2024
"LOVE AT FIRST BITE LLC",,"1301 SEQUOIA DR",LEXINGTON,KY,405173534,,"EATING PLACE",37.97567,-84.475605,722511,58120115,63220,1,1,2022
"LOVE GO BIG LLC",,"3284 NANTUCKET DR",LEXINGTON,KY,405023269,8593038780,"EATING PLACE",38.000387,-84.507608,722511,58120000,76552,4,4,2016
"LUXOR CAFE' LTD LLC",,"1500 BULL LEA RD",LEXINGTON,KY,405111267,,"EATING PLACE",38.087758,-84.491576,722511,58129902,130559,6,6,2008
"LYLES BBQ COMPANY",,"3401 NICHOLASVILLE RD",LEXINGTON,KY,405033611,7046099568,"EATING PLACE",37.989736,-84.527676,722511,58120801,166634,7,7,2018
"LYLES BBQ COMPANY, LLC",,"4248 RESERVE RD APT 201",LEXINGTON,KY,405144068,,"EATING PLACE",37.996206,-84.579836,722511,58120801,185981,5,5,2014
"LYN'S PHILIPPINES CUISINE LLC",,"2308 CAYWOOD CIR",LEXINGTON,KY,405041359,,"EATING PLACE",38.05543,-84.55365,722511,58120000,259779,1,1,2024
"LYNAGH'S IRISH PUB & GRILL","LYNAGH'S IRISH PUB","2117 HART CT",LEXINGTON,KY,405022438,8592551292,"DRINKING PLACE EATING PLACE",38.013885,-84.476565,722410,58130101,229380,6,6,1981
"M & M'S GUMBO LLC",,"1736 TRAVELLER RD",LEXINGTON,KY,405042004,,"EATING PLACE",38.057417,-84.481038,722511,58120500,144316,4,4,2018
"M&M SMOKEHOUSE LLC",,"404 WHISPERING HILLS DR",LEXINGTON,KY,405171753,,"EATING PLACE",37.978469,-84.509923,722511,58120801,65812,1,1,2022
"MADLOVE COOKING LLC",,"1761 AMETHYST WAY",LEXINGTON,KY,405097803,,"EATING PLACE",38.02082,-84.391834,722511,58120000,262712,1,1,2023
"MAIN EVENT ENTERTAINMENT, INC.",,"240 CANARY RD",LEXINGTON,KY,405033300,8594742300,"EATING PLACE",37.9948,-84.51986,722511,58120101,0,0,18,
"MAIN STREET CAFE LLC",,"535 S UPPER ST STE 125",LEXINGTON,KY,405082975,,"EATING PLACE",38.042247,-84.505246,722511,58129902,125086,6,6,2015
"MALONE S OF LEXINGTON",,"866 MALABU DR",LEXINGTON,KY,405023404,,"EATING PLACE",37.992093,-84.495848,722511,58120101,232827,1,1,2019
"MALONE'S OF LEXINGTON, LLC","OSCAR'S SEAFOOD & PIANO BAR","3347 TATES CREEK RD",LEXINGTON,KY,405023407,8593356500,"EATING PLACE",37.995678,-84.496734,722511,58120101,463482,24,24,1997
MALONES,,"1920 PLEASANT RIDGE DR",LEXINGTON,KY,405092412,8592648874,"EATING PLACE",38.017457,-84.41408,722511,58120502,258816,21,21,2009
"MAM BROTHERS, INC","DICKEYS BBQ PIT","1315 WINCHESTER RD STE 325",LEXINGTON,KY,405054129,8593037445,"EATING PLACE",38.043917,-84.456989,722511,58120801,261799,11,11,2015
"MAM'S TASTE OF THE SMILING COAST LLC",,"229 GATEWAY PARK CIR",LEXINGTON,KY,405118747,,"EATING PLACE",38.091909,-84.549259,722511,58120000,90466,1,1,2021
"MAMA JANS SOUL FOOD LLC",,"897 LAUDERDALE DR",LEXINGTON,KY,405156465,8593478081,"EATING PLACE",37.953981,-84.510795,722511,58120000,247219,2,2,2024
"MAMA TEQUILA, LLC",,"3144 SANDERSVILLE RD",LEXINGTON,KY,405118894,,"EATING PLACE",38.108622,-84.536075,722511,58120112,255393,1,1,2021
"MAN O WAR RESTAURANT, INC","TEXAS ROADHOUSE","3116 RICHMOND RD",LEXINGTON,KY,405091509,8592682507,"STEAKHOUSE RESTAURANT",38.001799,-84.44832,722511,58120802,242933,10,10,1995
"MANSION RESTAURANT",,"1800 NEWTOWN PIKE",LEXINGTON,KY,405111330,8592315100,"EATING PLACE",38.093112,-84.484659,722511,58120502,139163,7,7,2002
"MARIA'S KITCHEN",,"895 N BROADWAY",LEXINGTON,KY,405081474,8592949537,"EATING PLACE",38.060678,-84.483519,722511,58120112,170521,2,2,2007
"MARIKKA'S RESTAURANT, INC.",MARIKKA'S,"4750 HARTLAND PKWY",LEXINGTON,KY,405151558,,"EATING PLACE",37.960962,-84.480692,722511,58120000,115312,8,8,1991
